Harlyn (50.535, -4.999) — 49 hours
time (UTC)        | swell  H/P/Dir        | secondary H/P/Dir     | wave  H/P
--------------------------------------------------------------------------------------
2026-06-17 17:00 | 1.0m/6.4s/ 99°        | 0.3m/10.3s/263°       | 1.0m/5.0s
2026-06-17 18:00 | 1.0m/6.4s/ 99°        | 0.3m/11.5s/265°       | 1.0m/5.0s
2026-06-17 19:00 | 0.9m/6.3s/ 99°        | 0.3m/10.2s/263°       | 1.0m/5.2s
2026-06-17 20:00 | 0.9m/6.3s/100°        | 0.3m/8.9s/261°        | 0.9m/5.3s
2026-06-17 21:00 | 0.9m/6.5s/100°        | 0.3m/7.6s/259°        | 0.9m/5.5s
2026-06-17 22:00 | 0.8m/6.8s/101°        | 0.3m/7.5s/260°        | 0.8m/5.4s
2026-06-17 23:00 | 0.8m/7.0s/101°        | 0.2m/7.4s/260°        | 0.8m/5.3s
2026-06-18 00:00 | 0.8m/7.2s/102°        | 0.2m/7.3s/261°        | 0.8m/5.1s
2026-06-18 01:00 | 0.8m/7.3s/103°        | 0.3m/5.6s/265°        | 0.8m/5.1s
2026-06-18 02:00 | 0.8m/7.2s/103°        | 0.3m/4.0s/269°        | 0.8m/5.0s
2026-06-18 03:00 | 0.9m/7.2s/104°        | 0.3m/2.3s/274°        | 0.9m/5.0s
2026-06-18 04:00 | 0.9m/7.0s/104°        | 0.3m/2.4s/294°        | 0.9m/5.0s
2026-06-18 05:00 | 0.9m/6.8s/104°        | 0.4m/2.6s/313°        | 0.9m/5.1s
2026-06-18 06:00 | 0.9m/6.7s/103°        | 0.4m/2.7s/333°        | 0.9m/5.2s
2026-06-18 07:00 | 0.9m/6.6s/103°        | 0.6m/4.4s/313°        | 0.9m/5.1s
2026-06-18 08:00 | 0.9m/6.6s/103°        | 0.7m/6.1s/292°        | 0.9m/5.0s
2026-06-18 09:00 | 0.9m/6.7s/103°        | 0.9m/7.8s/271°        | 0.9m/4.8s
2026-06-18 10:00 | 0.8m/6.8s/103°        | 0.8m/6.8s/276°        | 0.8m/4.9s
2026-06-18 11:00 | 0.8m/6.9s/102°        | 0.7m/5.8s/280°        | 0.8m/4.9s
2026-06-18 12:00 | 0.8m/7.0s/102°        | 0.5m/4.8s/285°        | 0.8m/4.9s
2026-06-18 13:00 | 0.8m/6.9s/101°        | 0.4m/6.6s/282°        | 0.8m/4.9s
2026-06-18 14:00 | 0.9m/6.8s/101°        | 0.3m/8.5s/279°        | 0.9m/4.9s
2026-06-18 15:00 | 0.9m/6.7s/101°        | 0.1m/10.4s/277°       | 0.9m/4.9s
2026-06-18 16:00 | 0.9m/6.6s/101°        | 0.2m/9.9s/275°        | 1.0m/5.0s
2026-06-18 17:00 | 1.0m/6.4s/101°        | 0.3m/9.5s/274°        | 1.0m/5.0s
2026-06-18 18:00 | 1.0m/6.2s/100°        | 0.4m/9.0s/272°        | 1.0m/5.0s
2026-06-18 19:00 | 1.0m/6.1s/ 99°        | 0.3m/9.2s/273°        | 1.0m/5.0s
2026-06-18 20:00 | 1.0m/6.2s/ 99°        | 0.3m/9.4s/275°        | 1.0m/5.0s
2026-06-18 21:00 | 0.9m/6.3s/ 99°        | 0.2m/9.7s/277°        | 0.9m/5.0s
2026-06-18 22:00 | 0.9m/6.5s/ 99°        | 0.3m/8.9s/275°        | 0.9m/4.9s
2026-06-18 23:00 | 0.8m/6.7s/ 98°        | 0.4m/8.1s/273°        | 0.8m/4.8s
2026-06-19 00:00 | 0.8m/6.8s/ 98°        | 0.5m/7.3s/271°        | 0.8m/4.7s
2026-06-19 01:00 | 0.8m/6.8s/ 98°        | 0.5m/7.5s/271°        | 0.8m/4.6s
2026-06-19 02:00 | 0.8m/6.8s/ 98°        | 0.5m/7.7s/271°        | 0.8m/4.6s
2026-06-19 03:00 | 0.8m/6.6s/ 99°        | 0.4m/7.8s/271°        | 0.8m/4.5s
2026-06-19 04:00 | 0.9m/6.4s/ 99°        | 0.4m/7.7s/273°        | 0.9m/4.4s
2026-06-19 05:00 | 0.9m/6.2s/ 98°        | 0.4m/7.6s/275°        | 0.9m/4.3s
2026-06-19 06:00 | 0.9m/6.0s/ 98°        | 0.4m/7.5s/277°        | 0.9m/4.3s
2026-06-19 07:00 | 0.9m/5.8s/ 97°        | 0.4m/7.6s/275°        | 0.9m/4.3s
2026-06-19 08:00 | 0.9m/5.8s/ 97°        | 0.4m/7.7s/273°        | 0.9m/4.2s
2026-06-19 09:00 | 0.9m/5.8s/ 96°        | 0.4m/7.8s/271°        | 0.9m/4.2s
2026-06-19 10:00 | 0.9m/5.9s/ 95°        | 0.4m/7.6s/270°        | 0.9m/4.3s
2026-06-19 11:00 | 0.9m/6.1s/ 93°        | 0.4m/7.4s/270°        | 0.9m/4.3s
2026-06-19 12:00 | 0.8m/6.2s/ 92°        | 0.4m/7.2s/270°        | 0.9m/4.4s
2026-06-19 13:00 | 0.9m/6.4s/ 92°        | 0.4m/7.6s/270°        | 0.9m/4.4s
2026-06-19 14:00 | 0.9m/6.5s/ 92°        | 0.3m/8.1s/269°        | 0.9m/4.4s
2026-06-19 15:00 | 0.9m/6.5s/ 92°        | 0.3m/8.5s/269°        | 1.0m/4.5s
2026-06-19 16:00 | 1.0m/6.4s/ 92°        | 0.3m/6.2s/238°        | 1.0m/4.5s
2026-06-19 17:00 | 1.0m/6.3s/ 92°        | 0.2m/3.9s/207°        | 1.1m/4.5s

meta: requestCount=6 dailyQuota=10
